module,method,path,purpose,auth,guards,pathParams,queryParams,requestSchema,requestFields,statusCodes,responseFormats,sourceFile
accounting-periods,GET,/api/accounting-periods,Read data,session_cookie,requireAccountingAccess|requireCompanyRole,,companyId,accountingPeriodSchema (src/lib/validators/company.ts),companyId|endDate|frequency|name|startDate,400|401|403|409,json,src/app/api/accounting-periods/route.ts
accounting-periods,POST,/api/accounting-periods,Create or execute action,session_cookie,requireAccountingAccess|requireCompanyRole,,companyId,accountingPeriodSchema (src/lib/validators/company.ts),companyId|endDate|frequency|name|startDate,400|401|403|409,json,src/app/api/accounting-periods/route.ts
accounting-periods,PATCH,/api/accounting-periods/{periodId},Update existing data,session_cookie,requireCompanyRole,periodId,,accountingPeriodUpdateSchema (src/lib/validators/company.ts),status,400|401|403,json,src/app/api/accounting-periods/[periodId]/route.ts
accounting-periods,POST,/api/accounting-periods/generate,Create or execute action,session_cookie,requireCompanyRole,,,accountingPeriodGenerateSchema (src/lib/validators/company.ts),companyId|frequency|year,400|401|403|409,json,src/app/api/accounting-periods/generate/route.ts
adjustments,GET,/api/adjustments,Read data,session_cookie,requireAccountingAccess|requireCompanyRole,,accountId|companyId|from|q|to|type,adjustmentSchema (src/lib/validators/payments.ts),accountId|adjustmentDate|amount|companyId|memo|offsetAccountId|reason|type,400|401|403,json,src/app/api/adjustments/route.ts
adjustments,POST,/api/adjustments,Create or execute action,session_cookie,requireAccountingAccess|requireCompanyRole,,accountId|companyId|from|q|to|type,adjustmentSchema (src/lib/validators/payments.ts),accountId|adjustmentDate|amount|companyId|memo|offsetAccountId|reason|type,400|401|403,json,src/app/api/adjustments/route.ts
adjustments,GET,/api/adjustments/{adjustmentId},Read data,session_cookie,requireAccountingAccess,adjustmentId,,,,401|403|404,json,src/app/api/adjustments/[adjustmentId]/route.ts
admin,GET,/api/admin/alerts,Read data,system_session,requireSystemAdmin,,severity|status,,,200,json,src/app/api/admin/alerts/route.ts
admin,PATCH,/api/admin/alerts/{alertId},Update existing data,system_session,requireSystemAdmin,alertId,,schema,severity|status,400,json,src/app/api/admin/alerts/[alertId]/route.ts
admin,GET,/api/admin/alerts/export,Export data,system_session,requireSystemAdmin,,severity|status,,,200,csv|json,src/app/api/admin/alerts/export/route.ts
admin,GET,/api/admin/audit,Read data,system_session,requireSystemAdmin,,,,,200,json,src/app/api/admin/audit/route.ts
admin,GET,/api/admin/audit/export,Export data,system_session,requireSystemAdmin,,,,,200,csv|json,src/app/api/admin/audit/export/route.ts
admin,GET,/api/admin/dr/drills,Read data,system_session,requireSystemAdmin,,,schema,completedAt|notes|rpoAchievedMinutes|rtoAchievedMinutes|runBy|scope|startedAt|status|type,400,json,src/app/api/admin/dr/drills/route.ts
admin,POST,/api/admin/dr/drills,Create or execute action,system_session,requireSystemAdmin,,,schema,completedAt|notes|rpoAchievedMinutes|rtoAchievedMinutes|runBy|scope|startedAt|status|type,400,json,src/app/api/admin/dr/drills/route.ts
admin,GET,/api/admin/dr/settings,Read data,system_session,requireSystemAdmin,,,schema,approvedBy|backupFrequencyHours|backupRegion|lastReviewedAt|priorityCritical|priorityHigh|priorityLow|priorityMedium|retentionDays|rpoMinutes|rtoMinutes,400,json,src/app/api/admin/dr/settings/route.ts
admin,PUT,/api/admin/dr/settings,Update existing data,system_session,requireSystemAdmin,,,schema,approvedBy|backupFrequencyHours|backupRegion|lastReviewedAt|priorityCritical|priorityHigh|priorityLow|priorityMedium|retentionDays|rpoMinutes|rtoMinutes,400,json,src/app/api/admin/dr/settings/route.ts
admin,GET,/api/admin/health,Read data,system_session,requireSystemAdmin,,,,,200,json,src/app/api/admin/health/route.ts
