sourceFile,schemaName,fields
src/lib/validators/attendance.ts,attendanceHolidaySchema,companyId|name|date|isPaid
src/lib/validators/attendance.ts,attendanceImportSchema,companyId|csv
src/lib/validators/attendance.ts,attendanceRecordSchema,companyId|employeeId|date|checkIn|checkOut|status|source|notes
src/lib/validators/attendance.ts,attendanceSettingsSchema,companyId|shiftStart|shiftEnd|weekendDays|graceMinutes|roundingMinutes|overtimeThresholdMinutes
src/lib/validators/auth.ts,acceptInviteSchema,token|name|password
src/lib/validators/auth.ts,bootstrapSchema,companyName|adminName|email|password
src/lib/validators/auth.ts,createCompanySchema,name
src/lib/validators/auth.ts,inviteSchema,email|role|companyId
src/lib/validators/auth.ts,loginSchema,email|password|otp
src/lib/validators/billing.ts,billingInvoiceCreateSchema,companyId|subscriptionId|planId|planName|amount|currency|status|periodStart|periodEnd
src/lib/validators/billing.ts,billingInvoiceUpdateSchema,companyId|status
src/lib/validators/billing.ts,billingPlanSchema,companyId|code|name|description|currency|priceMonthly|priceYearly|maxUsers|maxCompanies|modules|trialDays|graceDays|isActive|isDefault
src/lib/validators/billing.ts,paymentMethodSchema,companyId|type|brand|last4|expMonth|expYear|token|isDefault
src/lib/validators/billing.ts,paymentMethodUpdateSchema,companyId|isDefault
src/lib/validators/billing.ts,subscriptionCancelSchema,companyId|cancelAtPeriodEnd
src/lib/validators/billing.ts,subscriptionOverrideSchema,companyId|status
src/lib/validators/billing.ts,subscriptionReactivateSchema,companyId
src/lib/validators/billing.ts,subscriptionUpdateSchema,companyId|planId|billingCycle
src/lib/validators/company.ts,accountingPeriodGenerateSchema,companyId|year|frequency
src/lib/validators/company.ts,accountingPeriodSchema,companyId|name|startDate|endDate|frequency
src/lib/validators/company.ts,accountingPeriodUpdateSchema,status
src/lib/validators/company.ts,accountSchema,companyId|code|name|type|parentId|isPosting|status
src/lib/validators/company.ts,accountUpdateSchema,code|name|type|status|parentId|isPosting
src/lib/validators/company.ts,coaTemplateItemSchema,code|name|type|parentCode|isPosting|system
src/lib/validators/company.ts,coaTemplateSchema,companyId|template
src/lib/validators/company.ts,companyConfigSchema,vatEnabled|vatRate|vatFilingFrequency|taxInclusive|invoicePrefix|invoiceSuffix|invoiceNextNumber|invoicePadding|invoiceResetYearly|invoiceLastResetYear|billPrefix|billSuffix|billNextNumber|billPadding|billResetYearly|billLastResetYear|creditPrefix|creditSuffix|creditNextNumber|creditPadding|creditResetYearly|creditLastResetYear|vendorCreditPrefix|vendorCreditSuffix|vendorCreditNextNumber|vendorCreditPadding|vendorCreditResetYearly|vendorCreditLastResetYear|receiptPrefix|receiptSuffix|receiptNextNumber|receiptPadding|receiptResetYearly|receiptLastResetYear|vendorPaymentPrefix|vendorPaymentSuffix|vendorPaymentNextNumber|vendorPaymentPadding|vendorPaymentResetYearly|vendorPaymentLastResetYear|transferPrefix|transferSuffix|transferNextNumber|transferPadding|transferResetYearly|transferLastResetYear|adjustmentPrefix|adjustmentSuffix|adjustmentNextNumber|adjustmentPadding|adjustmentResetYearly|adjustmentLastResetYear|expensePrefix|expenseSuffix|expenseNextNumber|expensePadding|expenseResetYearly|expenseLastResetYear|invoiceTemplate|billTemplate|signatureEnabled|signatureName|signatureTitle|signatureImageUrl|dateFormat|timeFormat|roundingPrecision|roundingMode|billApprovalThreshold|payrollApprovalThreshold|periodLockDate|onboardingCompleted
src/lib/validators/company.ts,companyDefaultsSchema,companyId|salesAccountId|purchasesAccountId|vatOutputAccountId|vatInputAccountId|discountAccountId|receivableAccountId|payableAccountId|defaultSalesTaxCategoryId|defaultPurchaseTaxCategoryId|defaultSalesPaymentTermId|defaultPurchasePaymentTermId
src/lib/validators/company.ts,documentBrandingSchema,companyId|logoUrl|header|footer|accentColor
src/lib/validators/company.ts,openingBalanceSchema,companyId|asOfDate|entries
src/lib/validators/company.ts,paymentTermSchema,companyId|name|days|status
src/lib/validators/company.ts,paymentTermUpdateSchema,name|days|status
src/lib/validators/company.ts,taxCategorySchema,companyId|name|rate|type|status
src/lib/validators/company.ts,taxCategoryUpdateSchema,name|rate|type|status
src/lib/validators/company.ts,vatAdjustmentSchema,companyId|periodId|type|amount|reason
src/lib/validators/company.ts,vatPeriodGenerateSchema,companyId|year|frequency
src/lib/validators/company.ts,vatPeriodSchema,companyId|name|startDate|endDate|frequency
src/lib/validators/company.ts,vatPeriodUpdateSchema,status
src/lib/validators/documents.ts,documentReplaceSchema,companyId|contentType|size|storage|url|content
src/lib/validators/documents.ts,documentSchema,companyId|name|docType|tags|entityType|entityId|contentType|size|storage|url|content
src/lib/validators/documents.ts,documentUpdateSchema,name|docType|tags|entityType|entityId
src/lib/validators/expenses.ts,expenseAttachmentSchema,companyId|name|contentType|size|storage|url|content
src/lib/validators/expenses.ts,expenseCategorySchema,companyId|name|expenseAccountId|status
src/lib/validators/expenses.ts,expenseCategoryUpdateSchema,name|expenseAccountId|status
src/lib/validators/expenses.ts,expenseReimbursementSchema,companyId|paymentDate|paymentMethod|paymentAccountId|reference
src/lib/validators/expenses.ts,expenseSchema,companyId|expenseDate|categoryId|vendorId|paymentMethod|paymentAccountId|taxCategoryId|amount|currency|description|notes|status|reimbursable|reimbursementStatus|reimburseTo
src/lib/validators/expenses.ts,expenseUpdateSchema,expenseDate|categoryId|vendorId|paymentMethod|paymentAccountId|taxCategoryId|amount|currency|description|notes|reimbursable|reimbursementStatus|reimburseTo
src/lib/validators/hr.ts,documentSchema,companyId|type|name|contentType|size|storage|url|content|issuedAt|expiresAt
src/lib/validators/hr.ts,employeeSelfUpdateSchema,companyId|email|phone|address
src/lib/validators/integrations.ts,integrationSchema,companyId|connector|name|environment|status|config|credentials
src/lib/validators/integrations.ts,integrationUpdateSchema,name|environment|status|config|credentials
src/lib/validators/items.ts,inventoryAdjustmentSchema,companyId|quantity|unit|reason|note
src/lib/validators/items.ts,itemAttachmentSchema,companyId|name|contentType|size|storage|url|content
src/lib/validators/items.ts,itemBulkStatusSchema,companyId|ids|status
src/lib/validators/items.ts,itemImportSchema,companyId|csv|dryRun
src/lib/validators/leave.ts,leaveAdjustmentSchema,companyId|employeeId|leaveTypeId|amount|reason
src/lib/validators/leave.ts,leaveRequestSchema,companyId|employeeId|leaveTypeId|startDate|endDate|reason
src/lib/validators/leave.ts,leaveRequestUpdateSchema,companyId|status|reason
src/lib/validators/leave.ts,leaveTypeSchema,companyId|name|code|isPaid|defaultAllowance|requiresApproval|status
src/lib/validators/parties.ts,bulkStatusSchema,companyId|ids|status
src/lib/validators/parties.ts,contactSchema,companyId|partyType|partyId|name|email|phone|role|isPrimary
src/lib/validators/parties.ts,importPayloadSchema,companyId|csv|dryRun
src/lib/validators/parties.ts,vendorBulkStatusSchema,companyId|ids|status
src/lib/validators/payments.ts,adjustmentSchema,companyId|adjustmentDate|accountId|offsetAccountId|type|amount|reason|memo
src/lib/validators/payments.ts,cashBankAccountSchema,companyId|accountId|name|type|status|openingBalance|bankName|iban
src/lib/validators/payments.ts,cashBankAccountUpdateSchema,accountId|name|type|status|openingBalance|bankName|iban
src/lib/validators/payments.ts,paymentMethodSchema,companyId|code|name|defaultAccountId|status
src/lib/validators/payments.ts,paymentMethodUpdateSchema,name|defaultAccountId|status
src/lib/validators/payments.ts,paymentReceiptSchema,companyId|receiptDate|customerId|method|accountId|reference|currency|totalAmount|allocations
src/lib/validators/payments.ts,receiptAllocationSchema,invoiceId|amount
src/lib/validators/payments.ts,reconciliationImportSchema,companyId|accountId|lines
src/lib/validators/payments.ts,reconciliationMatchSchema,companyId|accountId
src/lib/validators/payments.ts,transferSchema,companyId|transferDate|fromAccountId|toAccountId|amount|reference|memo
src/lib/validators/payments.ts,vendorPaymentAllocationSchema,billId|amount
src/lib/validators/payments.ts,vendorPaymentSchema,companyId|paymentDate|vendorId|method|accountId|reference|currency|totalAmount|allocations
src/lib/validators/payroll.ts,payrollAdjustmentSchema,companyId|runId|runItemId|amount|reason
src/lib/validators/payroll.ts,payrollRunCreateSchema,companyId|periodStart|periodEnd|employeeIds
src/lib/validators/payroll.ts,payrollRunPaySchema,companyId|paymentAccountId|paymentMethod|paymentDate
src/lib/validators/payroll.ts,payrollSettingsSchema,companyId|cycle|overtimeMultiplier|latenessPenaltyPerMinute|gosiEnabled|gosiEmployeeRate|gosiEmployerRate|incomeTaxEnabled|incomeTaxRate|salaryExpenseAccountId|payrollPayableAccountId|salaryDeductionsAccountId|paymentAccountId
src/lib/validators/purchases.ts,billAttachmentSchema,companyId|name|contentType|size|storage|url|content
src/lib/validators/purchases.ts,billLineSchema,id|itemId|description|quantity|unit|unitPrice|discountRate|taxCategoryId
src/lib/validators/purchases.ts,billPaymentSchema,companyId|paymentDate|amount|method|reference|accountId
src/lib/validators/purchases.ts,billSchema,companyId|vendorId|billDate|dueDate|currency|paymentTermId|vendorBillNumber|notes|status|lines
src/lib/validators/purchases.ts,billUpdateSchema,vendorId|billDate|dueDate|currency|paymentTermId|vendorBillNumber|notes|lines
src/lib/validators/purchases.ts,vendorCreditNoteLineSchema,id|billLineId|itemId|description|quantity|unit|unitPrice|discountRate|taxCategoryId|returnToVendor
src/lib/validators/purchases.ts,vendorCreditNoteSchema,companyId|billId|issueDate|currency|notes|reason|status|lines
src/lib/validators/purchases.ts,vendorCreditNoteUpdateSchema,issueDate|notes|reason|status|lines
src/lib/validators/sales.ts,creditNoteLineSchema,id|invoiceLineId|itemId|description|quantity|unit|unitPrice|discountRate|taxCategoryId|restock
src/lib/validators/sales.ts,creditNoteSchema,companyId|invoiceId|issueDate|currency|notes|reason|status|lines
src/lib/validators/sales.ts,creditNoteUpdateSchema,issueDate|notes|reason|status|lines
src/lib/validators/sales.ts,invoiceAttachmentSchema,companyId|name|contentType|size|storage|url|content
src/lib/validators/sales.ts,invoiceLineSchema,id|itemId|description|quantity|unit|unitPrice|discountRate|taxCategoryId
src/lib/validators/sales.ts,invoicePaymentSchema,companyId|paymentDate|amount|method|reference|accountId
src/lib/validators/sales.ts,invoiceSchema,companyId|customerId|invoiceDate|dueDate|currency|paymentTermId|notes|terms|status|lines
src/lib/validators/sales.ts,invoiceStatusSchema,companyId|status
src/lib/validators/sales.ts,invoiceUpdateSchema,customerId|invoiceDate|dueDate|currency|paymentTermId|notes|terms|lines
src/lib/validators/support.ts,supportTicketSchema,companyId|subject|category|priority|message|locale
src/lib/validators/support.ts,supportTicketUpdateSchema,status
