collection,sourceFile,primaryType,fields,foreignKeys,relatedSourceFiles
accounting_payment_methods,src/lib/data/accounting-payment-methods.ts,AccountingPaymentMethod,"id:string|companyId:string|code:string|name:string|defaultAccountId:string | null|status:""active"" | ""inactive""|isSystem:boolean|createdAt:Date|updatedAt:Date",companyId->companies|defaultAccountId->default_accounts (inferred),src/lib/data/accounting-payment-methods.ts
accounting_periods,src/lib/data/accounting-periods.ts,AccountingPeriod,"id:string|companyId:string|name:string|startDate:string|endDate:string|frequency:PeriodFrequency|status:""open"" | ""closed""|lockedAt:Date|lockedBy:string | null|createdAt:Date",companyId->companies,src/lib/data/accounting-periods.ts
api_key_usage,src/lib/data/api-keys.ts,ApiKeyUsage,id:string|companyId:string|keyId:string|endpoint:string|method:string|status:number|error:string | null|createdAt:Date,companyId->companies|keyId->api_keys,src/lib/data/api-keys.ts
api_keys,src/lib/data/api-keys.ts,ApiKeyRecord,"id:string|companyId:string|name:string|prefix:string|scopes:ApiKeyScope[]|status:""active"" | ""revoked""|createdBy:string|createdByEmail:string | null|createdAt:Date|revokedAt:Date | null|lastUsedAt:Date | null",companyId->companies,src/lib/data/api-keys.ts
attendance_holidays,src/lib/data/attendance-holidays.ts,AttendanceHoliday,id:string|companyId:string|name:string|date:string|isPaid:boolean|createdAt:Date,companyId->companies,src/lib/data/attendance-holidays.ts
attendance_records,src/lib/data/attendance-records.ts,AttendanceRecord,id:string|companyId:string|employeeId:string|date:string|checkIn:string | null|checkOut:string | null|status:AttendanceStatus|totalMinutes:number|overtimeMinutes:number|lateMinutes:number|earlyMinutes:number|source:AttendanceSource|notes:string | null|createdBy:string | null|createdAt:Date|updatedAt:Date,companyId->companies|employeeId->employees,src/lib/data/attendance-records.ts
attendance_settings,src/lib/data/attendance-settings.ts,AttendanceSettings,companyId:string|shiftStart:string|shiftEnd:string|weekendDays:number[]|graceMinutes:number|roundingMinutes:number|overtimeThresholdMinutes:number|createdAt:Date|updatedAt:Date,companyId->companies,src/lib/data/attendance-settings.ts
audit_logs,src/lib/data/audit-log.ts,AuditEvent,"id:string|companyId:string|userId:string|userEmail:string|action:string|entity:string|entityId:string | null|metadata:Record<string, unknown>|createdAt:Date",companyId->companies|userId->users|entityId->entitys (inferred),src/lib/data/audit-log.ts|src/lib/data/audit-logs.ts|src/lib/data/system-metrics.ts
bank_statement_lines,src/lib/data/bank-statement-lines.ts,StatementLine,id:string|companyId:string|accountId:string|date:string|description:string|amount:number|status:StatementLineStatus|matchedCashTransactionId:string | null|createdAt:Date,companyId->companies|accountId->chart_accounts|matchedCashTransactionId->matched_cash_transactions (inferred),src/lib/data/bank-statement-lines.ts
bank_transfers,src/lib/data/bank-transfers.ts,BankTransfer,id:string|companyId:string|transferNumber:string|transferDate:string|fromAccountId:string|toAccountId:string|amount:number|reference:string | null|memo:string | null|journalEntryId:string | null|createdAt:Date,companyId->companies|fromAccountId->from_accounts (inferred)|toAccountId->to_accounts (inferred)|journalEntryId->journal_entrys (inferred),src/lib/data/bank-transfers.ts
bill_attachments,src/lib/data/bill-attachments.ts,BillAttachment,id:string|companyId:string|billId:string|name:string|contentType:string|size:number|storage:AttachmentStorage|url:string|content:string|createdAt:Date,companyId->companies|billId->purchase_bills,src/lib/data/bill-attachments.ts
bill_payments,src/lib/data/bill-payments.ts,BillPayment,id:string|companyId:string|billId:string|paymentDate:string|amount:number|method:string|reference:string|accountId:string|journalEntryId:string | null|createdAt:Date,companyId->companies|billId->purchase_bills|accountId->chart_accounts|journalEntryId->journal_entrys (inferred),src/lib/data/bill-payments.ts
